antecedent,consequent,support,confidence,lift
"['48', '11', '38', '36']",['28'],0.08,0.55,1.12
"['48', '38', '36', '28']",['11'],0.08,0.57,1.1
"['11', '38', '36', '28']",['48'],0.08,0.61,1.15
"['48', '11', '38', '28']",['36'],0.08,0.69,1.1
"['48', '11', '36', '28']",['38'],0.08,0.81,1.07
['8'],['28'],0.25,0.5,1.03
['28'],['8'],0.25,0.51,1.03
['38'],"['8', '28']",0.2,0.26,1.03
['8'],"['38', '28']",0.2,0.39,1.04
['28'],"['8', '38']",0.2,0.4,1.04
"['8', '38']",['28'],0.2,0.51,1.04
"['38', '28']",['8'],0.2,0.52,1.04
"['8', '28']",['38'],0.2,0.78,1.03
['48'],"['8', '28']",0.14,0.27,1.07
['8'],"['48', '28']",0.14,0.28,1.05
['28'],"['48', '8']",0.14,0.29,1.06
"['48', '8']",['28'],0.14,0.52,1.06
"['48', '28']",['8'],0.14,0.52,1.05
"['8', '28']",['48'],0.14,0.57,1.07
['38'],"['48', '8', '28']",0.11,0.15,1.06
['48'],"['8', '38', '28']",0.11,0.21,1.1
['8'],"['48', '38', '28']",0.11,0.23,1.04
['28'],"['48', '8', '38']",0.11,0.23,1.07
"['48', '38']","['8', '28']",0.11,0.28,1.1
"['8', '38']","['48', '28']",0.11,0.3,1.1
"['38', '28']","['48', '8']",0.11,0.3,1.1
"['48', '8']","['38', '28']",0.11,0.42,1.1
"['48', '28']","['8', '38']",0.11,0.42,1.1
"['8', '28']","['48', '38']",0.11,0.46,1.1
"['48', '8', '38']",['28'],0.11,0.53,1.07
"['48', '38', '28']",['8'],0.11,0.52,1.04
"['8', '38', '28']",['48'],0.11,0.58,1.1
"['48', '8', '28']",['38'],0.11,0.8,1.06
['36'],"['48', '8', '28']",0.1,0.15,1.09
['48'],"['8', '36', '28']",0.1,0.18,1.09
['8'],"['48', '36', '28']",0.1,0.19,1.1
['28'],"['48', '8', '36']",0.1,0.2,1.12
"['48', '36']","['8', '28']",0.1,0.29,1.15
"['8', '36']","['48', '28']",0.1,0.3,1.12
"['36', '28']","['48', '8']",0.1,0.3,1.11
"['48', '8']","['36', '28']",0.1,0.35,1.11
"['48', '28']","['8', '36']",0.1,0.36,1.12
"['8', '28']","['48', '36']",0.1,0.39,1.15
"['48', '8', '36']",['28'],0.1,0.55,1.12
"['48', '36', '28']",['8'],0.1,0.55,1.1
"['8', '36', '28']",['48'],0.1,0.58,1.09
"['48', '8', '28']",['36'],0.1,0.68,1.09
['38'],"['48', '8', '36', '28']",0.08,0.11,1.09
['36'],"['48', '8', '38', '28']",0.08,0.13,1.12
['48'],"['8', '38', '36', '28']",0.08,0.15,1.14
['8'],"['48', '38', '36', '28']",0.08,0.16,1.1
['28'],"['48', '8', '38', '36']",0.08,0.16,1.13
"['38', '36']","['48', '8', '28']",0.08,0.17,1.17
"['48', '38']","['8', '36', '28']",0.08,0.19,1.16
"['8', '38']","['48', '36', '28']",0.08,0.21,1.17
"['38', '28']","['48', '8', '36']",0.08,0.21,1.2
"['48', '36']","['8', '38', '28']",0.08,0.24,1.22
"['8', '36']","['48', '38', '28']",0.08,0.25,1.14
"['36', '28']","['48', '8', '38']",0.08,0.25,1.16
"['48', '8']","['38', '36', '28']",0.08,0.29,1.17
"['48', '28']","['8', '38', '36']",0.08,0.3,1.16
"['8', '28']","['48', '38', '36']",0.08,0.32,1.2
"['48', '38', '36']","['8', '28']",0.08,0.3,1.2
"['8', '38', '36']","['48', '28']",0.08,0.31,1.16
"['38', '36', '28']","['48', '8']",0.08,0.32,1.17
"['48', '8', '38']","['36', '28']",0.08,0.37,1.16
"['48', '38', '28']","['8', '36']",0.08,0.37,1.14
"['8', '38', '28']","['48', '36']",0.08,0.41,1.22
"['48', '8', '36']","['38', '28']",0.08,0.45,1.2
"['48', '36', '28']","['8', '38']",0.08,0.45,1.17
"['8', '36', '28']","['48', '38']",0.08,0.48,1.16
"['48', '8', '28']","['38', '36']",0.08,0.57,1.17
"['48', '8', '38', '36']",['28'],0.08,0.55,1.13
"['48', '38', '36', '28']",['8'],0.08,0.55,1.1
"['8', '38', '36', '28']",['48'],0.08,0.61,1.14
"['48', '8', '38', '28']",['36'],0.08,0.7,1.12
"['48', '8', '36', '28']",['38'],0.08,0.83,1.09
['11'],"['8', '28']",0.15,0.28,1.12
['8'],"['11', '28']",0.15,0.29,1.12
['28'],"['11', '8']",0.15,0.3,1.08
"['11', '8']",['28'],0.15,0.53,1.08
"['11', '28']",['8'],0.15,0.56,1.12
"['8', '28']",['11'],0.15,0.59,1.12
['38'],"['11', '8', '28']",0.12,0.15,1.05
['11'],"['8', '38', '28']",0.12,0.22,1.14
['8'],"['11', '38', '28']",0.12,0.23,1.13
['28'],"['11', '8', '38']",0.12,0.24,1.08
"['11', '38']","['8', '28']",0.12,0.29,1.15
"['8', '38']","['11', '28']",0.12,0.3,1.16
"['38', '28']","['11', '8']",0.12,0.31,1.11
"['11', '8']","['38', '28']",0.12,0.42,1.11
"['11', '28']","['8', '38']",0.12,0.45,1.16
"['8', '28']","['11', '38']",0.12,0.47,1.15
"['11', '8', '38']",['28'],0.12,0.53,1.08
"['11', '38', '28']",['8'],0.12,0.56,1.13
"['8', '38', '28']",['11'],0.12,0.6,1.14
"['11', '8', '28']",['38'],0.12,0.8,1.05
['48'],"['11', '8', '28']",0.09,0.16,1.1
['11'],"['48', '8', '28']",0.09,0.16,1.16
['8'],"['48', '11', '28']",0.09,0.17,1.14
['28'],"['48', '11', '8']",0.09,0.17,1.09
"['48', '11']","['8', '28']",0.09,0.29,1.18
"['48', '8']","['11', '28']",0.09,0.31,1.2
"['48', '28']","['11', '8']",0.09,0.32,1.14
"['11', '8']","['48', '28']",0.09,0.31,1.14
"['11', '28']","['48', '8']",0.09,0.33,1.2
"['8', '28']","['48', '11']",0.09,0.34,1.18
"['48', '11', '8']",['28'],0.09,0.53,1.09
"['48', '11', '28']",['8'],0.09,0.57,1.14
"['48', '8', '28']",['11'],0.09,0.6,1.16
"['11', '8', '28']",['48'],0.09,0.58,1.1
['38'],"['48', '11', '8', '28']",0.07,0.09,1.06
['48'],"['11', '8', '38', '28']",0.07,0.13,1.11
['11'],"['48', '8', '38', '28']",0.07,0.13,1.15
['8'],"['48', '11', '38', '28']",0.07,0.14,1.13
['28'],"['48', '11', '8', '38']",0.07,0.14,1.1
"['48', '38']","['11', '8', '28']",0.07,0.17,1.13
"['11', '38']","['48', '8', '28']",0.07,0.17,1.19
"['8', '38']","['48', '11', '28']",0.07,0.18,1.18
"['38', '28']","['48', '11', '8']",0.07,0.18,1.12
"['48', '11']","['8', '38', '28']",0.07,0.24,1.21
"['48', '8']","['11', '38', '28']",0.07,0.25,1.21
"['48', '28']","['11', '8', '38']",0.07,0.25,1.15
"['11', '8']","['48', '38', '28']",0.07,0.25,1.12
"['11', '28']","['48', '8', '38']",0.07,0.26,1.21
"['8', '28']","['48', '11', '38']",0.07,0.27,1.2
"['48', '11', '38']","['8', '28']",0.07,0.3,1.2
"['48', '8', '38']","['11', '28']",0.07,0.32,1.21
"['48', '38', '28']","['11', '8']",0.07,0.31,1.12
"['11', '8', '38']","['48', '28']",0.07,0.31,1.15
"['11', '38', '28']","['48', '8']",0.07,0.33,1.21
"['8', '38', '28']","['48', '11']",0.07,0.35,1.21
"['48', '11', '8']","['38', '28']",0.07,0.43,1.12
"['48', '11', '28']","['8', '38']",0.07,0.45,1.18
"['48', '8', '28']","['11', '38']",0.07,0.48,1.19
"['11', '8', '28']","['48', '38']",0.07,0.47,1.13
"['48', '11', '8', '38']",['28'],0.07,0.54,1.1
"['48', '11', '38', '28']",['8'],0.07,0.56,1.13
"['48', '8', '38', '28']",['11'],0.07,0.6,1.15
"['11', '8', '38', '28']",['48'],0.07,0.59,1.11
"['48', '11', '8', '28']",['38'],0.07,0.8,1.06
['36'],"['48', '11', '8', '28']",0.06,0.1,1.11
['48'],"['11', '8', '36', '28']",0.06,0.11,1.16
['11'],"['48', '8', '36', '28']",0.06,0.11,1.18
['8'],"['48', '11', '36', '28']",0.06,0.12,1.16
['28'],"['48', '11', '8', '36']",0.06,0.12,1.15
"['48', '36']","['11', '8', '28']",0.06,0.18,1.22
"['11', '36']","['48', '8', '28']",0.06,0.18,1.24
"['8', '36']","['48', '11', '28']",0.06,0.19,1.23
"['36', '28']","['48', '11', '8']",0.06,0.19,1.17
"['48', '11']","['8', '36', '28']",0.06,0.21,1.23
"['48', '8']","['11', '36', '28']",0.06,0.22,1.26
"['48', '28']","['11', '8', '36']",0.06,0.22,1.23
"['11', '8']","['48', '36', '28']",0.06,0.22,1.21
"['11', '28']","['48', '8', '36']",0.06,0.23,1.29
"['8', '28']","['48', '11', '36']",0.06,0.24,1.24
"['48', '11', '36']","['8', '28']",0.06,0.31,1.24
"['48', '8', '36']","['11', '28']",0.06,0.34,1.29
"['48', '36', '28']","['11', '8']",0.06,0.34,1.21
"['11', '8', '36']","['48', '28']",0.06,0.33,1.23
"['11', '36', '28']","['48', '8']",0.06,0.34,1.26
"['8', '36', '28']","['48', '11']",0.06,0.36,1.23
"['48', '11', '8']","['36', '28']",0.06,0.37,1.17
"['48', '11', '28']","['8', '36']",0.06,0.4,1.23
"['48', '8', '28']","['11', '36']",0.06,0.42,1.24
"['11', '8', '28']","['48', '36']",0.06,0.41,1.22
"['48', '11', '8', '36']",['28'],0.06,0.56,1.15
"['48', '11', '36', '28']",['8'],0.06,0.58,1.16
"['48', '8', '36', '28']",['11'],0.06,0.62,1.18
"['11', '8', '36', '28']",['48'],0.06,0.62,1.16
"['48', '11', '8', '28']",['36'],0.06,0.7,1.11
['36'],"['11', '8', '28']",0.1,0.15,1.06
['11'],"['8', '36', '28']",0.1,0.19,1.12
['8'],"['11', '36', '28']",0.1,0.2,1.12
['28'],"['11', '8', '36']",0.1,0.2,1.1
"['11', '36']","['8', '28']",0.1,0.28,1.14
"['8', '36']","['11', '28']",0.1,0.3,1.16
"['36', '28']","['11', '8']",0.1,0.3,1.1
"['11', '8']","['36', '28']",0.1,0.35,1.1
"['11', '28']","['8', '36']",0.1,0.37,1.16
"['8', '28']","['11', '36']",0.1,0.39,1.14
"['11', '8', '36']",['28'],0.1,0.54,1.1
"['11', '36', '28']",['8'],0.1,0.56,1.12
"['8', '36', '28']",['11'],0.1,0.58,1.12
"['11', '8', '28']",['36'],0.1,0.66,1.06
['38'],"['11', '8', '36', '28']",0.08,0.1,1.06
['36'],"['11', '8', '38', '28']",0.08,0.12,1.06
['11'],"['8', '38', '36', '28']",0.08,0.15,1.13
['8'],"['11', '38', '36', '28']",0.08,0.16,1.14
['28'],"['11', '8', '38', '36']",0.08,0.16,1.08
"['38', '36']","['11', '8', '28']",0.08,0.16,1.1
"['11', '38']","['8', '36', '28']",0.08,0.19,1.14
"['8', '38']","['11', '36', '28']",0.08,0.2,1.16
"['38', '28']","['11', '8', '36']",0.08,0.21,1.14
"['11', '36']","['8', '38', '28']",0.08,0.23,1.17
"['8', '36']","['11', '38', '28']",0.08,0.24,1.17
"['36', '28']","['11', '8', '38']",0.08,0.24,1.11
"['11', '8']","['38', '36', '28']",0.08,0.28,1.12
"['11', '28']","['8', '38', '36']",0.08,0.3,1.16
"['8', '28']","['11', '38', '36']",0.08,0.31,1.16
"['11', '38', '36']","['8', '28']",0.08,0.29,1.16
"['8', '38', '36']","['11', '28']",0.08,0.3,1.16
"['38', '36', '28']","['11', '8']",0.08,0.31,1.12
"['11', '8', '38']","['36', '28']",0.08,0.35,1.11
"['11', '38', '28']","['8', '36']",0.08,0.38,1.17
"['8', '38', '28']","['11', '36']",0.08,0.4,1.17
"['11', '8', '36']","['38', '28']",0.08,0.43,1.14
"['11', '36', '28']","['8', '38']",0.08,0.45,1.16
"['8', '36', '28']","['11', '38']",0.08,0.47,1.14
"['11', '8', '28']","['38', '36']",0.08,0.53,1.1
"['11', '8', '38', '36']",['28'],0.08,0.53,1.08
"['11', '38', '36', '28']",['8'],0.08,0.57,1.14
"['8', '38', '36', '28']",['11'],0.08,0.59,1.13
"['11', '8', '38', '28']",['36'],0.08,0.67,1.06
"['11', '8', '36', '28']",['38'],0.08,0.8,1.06
['36'],"['8', '28']",0.17,0.27,1.06
['8'],"['36', '28']",0.17,0.34,1.05
['28'],"['8', '36']",0.17,0.34,1.06
"['8', '36']",['28'],0.17,0.52,1.06
"['36', '28']",['8'],0.17,0.52,1.05
"['8', '28']",['36'],0.17,0.67,1.06
['38'],"['8', '36', '28']",0.13,0.17,1.05
['36'],"['8', '38', '28']",0.13,0.21,1.08
['8'],"['38', '36', '28']",0.13,0.27,1.06
['28'],"['8', '38', '36']",0.13,0.27,1.06
"['38', '36']","['8', '28']",0.13,0.27,1.09
"['8', '38']","['36', '28']",0.13,0.34,1.08
"['38', '28']","['8', '36']",0.13,0.35,1.08
"['8', '36']","['38', '28']",0.13,0.41,1.08
"['36', '28']","['8', '38']",0.13,0.41,1.08
"['8', '28']","['38', '36']",0.13,0.53,1.09
"['8', '38', '36']",['28'],0.13,0.52,1.06
"['38', '36', '28']",['8'],0.13,0.53,1.06
"['8', '38', '28']",['36'],0.13,0.68,1.08
"['8', '36', '28']",['38'],0.13,0.79,1.05
['48'],['28'],0.27,0.51,1.04
['28'],['48'],0.27,0.55,1.04
['38'],"['48', '28']",0.22,0.29,1.07
['48'],"['38', '28']",0.22,0.41,1.09
['28'],"['48', '38']",0.22,0.45,1.08
"['48', '38']",['28'],0.22,0.53,1.08
"['38', '28']",['48'],0.22,0.58,1.09
"['48', '28']",['38'],0.22,0.81,1.07
['36'],"['48', '28']",0.18,0.28,1.05
['48'],"['36', '28']",0.18,0.33,1.05
['28'],"['48', '36']",0.18,0.36,1.08
"['48', '36']",['28'],0.18,0.53,1.08
"['36', '28']",['48'],0.18,0.56,1.05
"['48', '28']",['36'],0.18,0.66,1.05
['38'],"['48', '36', '28']",0.15,0.19,1.09
['36'],"['48', '38', '28']",0.15,0.23,1.07
['48'],"['38', '36', '28']",0.15,0.28,1.11
['28'],"['48', '38', '36']",0.15,0.3,1.12
"['38', '36']","['48', '28']",0.15,0.3,1.12
"['48', '38']","['36', '28']",0.15,0.36,1.11
"['38', '28']","['48', '36']",0.15,0.39,1.15
"['48', '36']","['38', '28']",0.15,0.44,1.15
"['36', '28']","['48', '38']",0.15,0.46,1.11
"['48', '28']","['38', '36']",0.15,0.54,1.12
"['48', '38', '36']",['28'],0.15,0.55,1.12
"['38', '36', '28']",['48'],0.15,0.59,1.11
"['48', '38', '28']",['36'],0.15,0.67,1.07
"['48', '36', '28']",['38'],0.15,0.83,1.09
['38'],['3'],0.38,0.5,1.02
['3'],['38'],0.38,0.77,1.02
['36'],['3'],0.31,0.5,1.02
['3'],['36'],0.31,0.64,1.02
['38'],"['36', '3']",0.25,0.33,1.05
['36'],"['38', '3']",0.25,0.39,1.05
['3'],"['38', '36']",0.25,0.51,1.05
"['38', '36']",['3'],0.25,0.51,1.05
"['38', '3']",['36'],0.25,0.66,1.05
"['36', '3']",['38'],0.25,0.79,1.05
['11'],['3'],0.27,0.53,1.08
['3'],['11'],0.27,0.56,1.08
['38'],"['11', '3']",0.22,0.29,1.05
['11'],"['38', '3']",0.22,0.42,1.11
['3'],"['11', '38']",0.22,0.45,1.1
"['11', '38']",['3'],0.22,0.54,1.1
"['38', '3']",['11'],0.22,0.58,1.11
"['11', '3']",['38'],0.22,0.8,1.05
['36'],"['11', '3']",0.18,0.29,1.06
['11'],"['36', '3']",0.18,0.35,1.12
['3'],"['11', '36']",0.18,0.38,1.1
"['11', '36']",['3'],0.18,0.54,1.1
"['36', '3']",['11'],0.18,0.59,1.12
"['11', '3']",['36'],0.18,0.67,1.06
['38'],"['11', '36', '3']",0.15,0.19,1.06
['36'],"['11', '38', '3']",0.15,0.23,1.07
['11'],"['38', '36', '3']",0.15,0.28,1.14
['3'],"['11', '38', '36']",0.15,0.3,1.13
"['38', '36']","['11', '3']",0.15,0.3,1.11
"['11', '38']","['36', '3']",0.15,0.36,1.16
"['38', '3']","['11', '36']",0.15,0.39,1.15
"['11', '36']","['38', '3']",0.15,0.43,1.15
"['36', '3']","['11', '38']",0.15,0.47,1.16
"['11', '3']","['38', '36']",0.15,0.54,1.11
"['11', '38', '36']",['3'],0.15,0.55,1.13
"['38', '36', '3']",['11'],0.15,0.6,1.14
"['11', '38', '3']",['36'],0.15,0.67,1.07
"['11', '36', '3']",['38'],0.15,0.8,1.06
['48'],"['11', '3']",0.16,0.29,1.07
['11'],"['48', '3']",0.16,0.3,1.13
['3'],"['48', '11']",0.16,0.32,1.1
"['48', '11']",['3'],0.16,0.54,1.1
"['48', '3']",['11'],0.16,0.59,1.13
"['11', '3']",['48'],0.16,0.57,1.07
['38'],"['48', '11', '3']",0.12,0.16,1.05
['48'],"['11', '38', '3']",0.12,0.23,1.06
['11'],"['48', '38', '3']",0.12,0.24,1.13
['3'],"['48', '11', '38']",0.12,0.25,1.11
"['48', '38']","['11', '3']",0.12,0.3,1.09
"['11', '38']","['48', '3']",0.12,0.3,1.14
"['38', '3']","['48', '11']",0.12,0.33,1.13
"['48', '11']","['38', '3']",0.12,0.43,1.13
"['48', '3']","['11', '38']",0.12,0.47,1.14
"['11', '3']","['48', '38']",0.12,0.45,1.09
"['48', '11', '38']",['3'],0.12,0.54,1.11
"['48', '38', '3']",['11'],0.12,0.59,1.13
"['11', '38', '3']",['48'],0.12,0.56,1.06
"['48', '11', '3']",['38'],0.12,0.79,1.05
['36'],"['48', '11', '3']",0.11,0.17,1.09
['48'],"['11', '36', '3']",0.11,0.2,1.09
['11'],"['48', '36', '3']",0.11,0.2,1.17
['3'],"['48', '11', '36']",0.11,0.22,1.14
"['48', '36']","['11', '3']",0.11,0.32,1.15
"['11', '36']","['48', '3']",0.11,0.31,1.18
"['36', '3']","['48', '11']",0.11,0.34,1.17
"['48', '11']","['36', '3']",0.11,0.37,1.17
"['48', '3']","['11', '36']",0.11,0.4,1.18
"['11', '3']","['48', '36']",0.11,0.39,1.15
"['48', '11', '36']",['3'],0.11,0.55,1.14
"['48', '36', '3']",['11'],0.11,0.61,1.17
"['11', '36', '3']",['48'],0.11,0.58,1.09
"['48', '11', '3']",['36'],0.11,0.68,1.09
['38'],"['48', '11', '36', '3']",0.09,0.11,1.06
['36'],"['48', '11', '38', '3']",0.09,0.14,1.1
['48'],"['11', '38', '36', '3']",0.09,0.16,1.09
['11'],"['48', '38', '36', '3']",0.09,0.16,1.17
['3'],"['48', '11', '38', '36']",0.09,0.18,1.14
"['38', '36']","['48', '11', '3']",0.09,0.18,1.13
"['48', '38']","['11', '36', '3']",0.09,0.21,1.12
"['11', '38']","['48', '36', '3']",0.09,0.21,1.21
"['38', '3']","['48', '11', '36']",0.09,0.23,1.18
"['48', '36']","['11', '38', '3']",0.09,0.25,1.16
"['11', '36']","['48', '38', '3']",0.09,0.25,1.19
"['36', '3']","['48', '11', '38']",0.09,0.27,1.19
"['48', '11']","['38', '36', '3']",0.09,0.29,1.19
"['48', '3']","['11', '38', '36']",0.09,0.32,1.2
"['11', '3']","['48', '38', '36']",0.09,0.31,1.16
"['48', '38', '36']","['11', '3']",0.09,0.32,1.16
"['11', '38', '36']","['48', '3']",0.09,0.32,1.2
"['38', '36', '3']","['48', '11']",0.09,0.34,1.19
"['48', '11', '38']","['36', '3']",0.09,0.37,1.19
"['48', '38', '3']","['11', '36']",0.09,0.41,1.19
"['11', '38', '3']","['48', '36']",0.09,0.39,1.16
"['48', '11', '36']","['38', '3']",0.09,0.44,1.18
"['48', '36', '3']","['11', '38']",0.09,0.49,1.21
"['11', '36', '3']","['48', '38']",0.09,0.47,1.12
"['48', '11', '3']","['38', '36']",0.09,0.55,1.13
"['48', '11', '38', '36']",['3'],0.09,0.56,1.14
"['48', '38', '36', '3']",['11'],0.09,0.61,1.17
"['11', '38', '36', '3']",['48'],0.09,0.58,1.09
"['48', '11', '38', '3']",['36'],0.09,0.69,1.1
"['48', '11', '36', '3']",['38'],0.09,0.8,1.06
['28'],['3'],0.25,0.51,1.06
['3'],['28'],0.25,0.52,1.06
['38'],"['3', '28']",0.2,0.26,1.06
['28'],"['38', '3']",0.2,0.41,1.09
['3'],"['38', '28']",0.2,0.41,1.09
"['38', '28']",['3'],0.2,0.53,1.09
"['38', '3']",['28'],0.2,0.53,1.09
"['3', '28']",['38'],0.2,0.8,1.06
['36'],"['3', '28']",0.17,0.27,1.07
['28'],"['36', '3']",0.17,0.34,1.1
['3'],"['36', '28']",0.17,0.35,1.08
"['36', '28']",['3'],0.17,0.53,1.08
"['36', '3']",['28'],0.17,0.54,1.1
"['3', '28']",['36'],0.17,0.67,1.07
