antecedent,consequent,support,confidence,lift
['48'],['3'],0.31,0.54,1.05
['3'],['48'],0.31,0.6,1.05
['38'],"['3', '48']",0.25,0.33,1.06
['48'],"['3', '38']",0.25,0.45,1.09
['3'],"['48', '38']",0.25,0.49,1.08
"['48', '38']",['3'],0.25,0.56,1.08
"['3', '38']",['48'],0.25,0.62,1.09
"['3', '48']",['38'],0.25,0.83,1.06
['36'],"['3', '48']",0.22,0.33,1.08
['48'],"['3', '36']",0.22,0.39,1.08
['3'],"['48', '36']",0.22,0.43,1.09
"['48', '36']",['3'],0.22,0.56,1.09
"['3', '36']",['48'],0.22,0.62,1.08
"['3', '48']",['36'],0.22,0.72,1.08
['8'],['3'],0.28,0.53,1.02
['3'],['8'],0.28,0.53,1.02
['38'],"['3', '8']",0.22,0.29,1.04
['8'],"['3', '38']",0.22,0.43,1.04
['3'],"['8', '38']",0.22,0.43,1.03
"['8', '38']",['3'],0.22,0.53,1.03
"['3', '38']",['8'],0.22,0.54,1.04
"['3', '8']",['38'],0.22,0.81,1.04
['38'],['40'],0.4,0.51,1.03
['40'],['38'],0.4,0.8,1.03
['36'],['40'],0.34,0.51,1.03
['40'],['36'],0.34,0.68,1.03
['38'],"['40', '36']",0.28,0.35,1.05
['36'],"['40', '38']",0.28,0.42,1.05
['40'],"['36', '38']",0.28,0.56,1.05
"['36', '38']",['40'],0.28,0.52,1.05
"['40', '38']",['36'],0.28,0.7,1.05
"['40', '36']",['38'],0.28,0.82,1.05
['11'],['40'],0.28,0.5,1.02
['40'],['11'],0.28,0.57,1.02
['38'],"['40', '11']",0.23,0.3,1.05
['11'],"['40', '38']",0.23,0.41,1.05
['40'],"['11', '38']",0.23,0.47,1.05
"['11', '38']",['40'],0.23,0.52,1.05
"['40', '38']",['11'],0.23,0.58,1.05
"['40', '11']",['38'],0.23,0.82,1.05
['36'],"['40', '11']",0.2,0.31,1.09
['11'],"['40', '36']",0.2,0.37,1.09
['40'],"['11', '36']",0.2,0.41,1.06
"['11', '36']",['40'],0.2,0.52,1.06
"['40', '36']",['11'],0.2,0.61,1.09
"['40', '11']",['36'],0.2,0.73,1.09
['28'],['40'],0.27,0.5,1.02
['40'],['28'],0.27,0.55,1.02
['38'],"['40', '28']",0.22,0.28,1.04
['28'],"['40', '38']",0.22,0.41,1.03
['40'],"['28', '38']",0.22,0.45,1.04
"['28', '38']",['40'],0.22,0.51,1.04
"['40', '38']",['28'],0.22,0.56,1.03
"['40', '28']",['38'],0.22,0.81,1.04
['3'],['40'],0.26,0.5,1.02
['40'],['3'],0.26,0.53,1.02
['38'],"['3', '40']",0.21,0.27,1.04
['3'],"['40', '38']",0.21,0.41,1.03
['40'],"['3', '38']",0.21,0.43,1.04
"['3', '38']",['40'],0.21,0.51,1.04
"['40', '38']",['3'],0.21,0.53,1.03
"['3', '40']",['38'],0.21,0.81,1.04
['48'],['40'],0.29,0.52,1.05
['40'],['48'],0.29,0.59,1.05
['38'],"['40', '48']",0.24,0.31,1.05
['48'],"['40', '38']",0.24,0.42,1.07
['40'],"['48', '38']",0.24,0.49,1.07
"['48', '38']",['40'],0.24,0.53,1.07
"['40', '38']",['48'],0.24,0.61,1.07
"['40', '48']",['38'],0.24,0.82,1.05
['36'],"['40', '48']",0.2,0.31,1.05
['48'],"['40', '36']",0.2,0.36,1.07
['40'],"['48', '36']",0.2,0.41,1.06
"['48', '36']",['40'],0.2,0.52,1.06
"['40', '36']",['48'],0.2,0.61,1.07
"['40', '48']",['36'],0.2,0.7,1.05
['8'],['40'],0.27,0.52,1.05
['40'],['8'],0.27,0.55,1.05
['38'],"['40', '8']",0.22,0.29,1.05
['8'],"['40', '38']",0.22,0.43,1.08
['40'],"['8', '38']",0.22,0.45,1.08
"['8', '38']",['40'],0.22,0.53,1.08
"['40', '38']",['8'],0.22,0.56,1.08
"['40', '8']",['38'],0.22,0.82,1.05
['38'],['39'],0.39,0.49,1.03
['39'],['38'],0.39,0.8,1.03
['36'],['39'],0.33,0.5,1.04
['39'],['36'],0.33,0.69,1.04
['38'],"['36', '39']",0.27,0.35,1.06
['36'],"['38', '39']",0.27,0.41,1.07
['39'],"['36', '38']",0.27,0.57,1.07
"['36', '38']",['39'],0.27,0.51,1.07
"['38', '39']",['36'],0.27,0.71,1.07
"['36', '39']",['38'],0.27,0.83,1.06
['11'],['39'],0.27,0.49,1.02
['39'],['11'],0.27,0.57,1.02
['38'],"['11', '39']",0.22,0.29,1.05
['11'],"['38', '39']",0.22,0.4,1.04
['39'],"['11', '38']",0.22,0.46,1.04
"['11', '38']",['39'],0.22,0.5,1.04
"['38', '39']",['11'],0.22,0.58,1.04
"['11', '39']",['38'],0.22,0.82,1.05
['28'],['39'],0.27,0.51,1.06
['39'],['28'],0.27,0.57,1.06
['38'],"['28', '39']",0.22,0.28,1.04
['28'],"['38', '39']",0.22,0.41,1.07
['39'],"['28', '38']",0.22,0.46,1.08
"['28', '38']",['39'],0.22,0.52,1.08
"['38', '39']",['28'],0.22,0.58,1.07
"['28', '39']",['38'],0.22,0.81,1.04
['3'],['39'],0.25,0.49,1.02
['39'],['3'],0.25,0.53,1.02
['38'],"['3', '39']",0.2,0.26,1.03
['3'],"['38', '39']",0.2,0.4,1.02
['39'],"['3', '38']",0.2,0.42,1.03
"['3', '38']",['39'],0.2,0.5,1.03
"['38', '39']",['3'],0.2,0.53,1.02
"['3', '39']",['38'],0.2,0.81,1.03
['40'],['39'],0.25,0.51,1.06
['39'],['40'],0.25,0.52,1.06
['38'],"['40', '39']",0.21,0.27,1.06
['40'],"['38', '39']",0.21,0.42,1.09
['39'],"['40', '38']",0.21,0.43,1.09
"['40', '38']",['39'],0.21,0.52,1.09
"['38', '39']",['40'],0.21,0.54,1.09
"['40', '39']",['38'],0.21,0.83,1.06
['48'],['39'],0.28,0.5,1.03
['39'],['48'],0.28,0.59,1.03
['38'],"['48', '39']",0.23,0.3,1.06
['48'],"['38', '39']",0.23,0.41,1.06
['39'],"['48', '38']",0.23,0.48,1.06
"['48', '38']",['39'],0.23,0.51,1.06
"['38', '39']",['48'],0.23,0.6,1.06
"['48', '39']",['38'],0.23,0.83,1.06
['8'],['39'],0.26,0.51,1.05
['39'],['8'],0.26,0.55,1.05
['38'],"['8', '39']",0.22,0.28,1.05
['8'],"['38', '39']",0.22,0.42,1.08
['39'],"['8', '38']",0.22,0.45,1.08
"['8', '38']",['39'],0.22,0.52,1.08
"['38', '39']",['8'],0.22,0.56,1.08
"['8', '39']",['38'],0.22,0.82,1.05
['17'],['39'],0.24,0.5,1.04
['39'],['17'],0.24,0.5,1.04
['38'],['43'],0.35,0.45,1.04
['43'],['38'],0.35,0.81,1.04
['36'],['43'],0.3,0.45,1.05
['43'],['36'],0.3,0.7,1.05
['38'],"['43', '36']",0.25,0.32,1.06
['36'],"['43', '38']",0.25,0.38,1.08
['43'],"['36', '38']",0.25,0.58,1.08
"['36', '38']",['43'],0.25,0.47,1.08
"['43', '38']",['36'],0.25,0.71,1.08
"['43', '36']",['38'],0.25,0.83,1.06
['11'],['43'],0.25,0.45,1.04
['43'],['11'],0.25,0.58,1.04
['38'],"['43', '11']",0.21,0.27,1.07
['11'],"['43', '38']",0.21,0.38,1.08
['43'],"['11', '38']",0.21,0.48,1.09
"['11', '38']",['43'],0.21,0.47,1.09
"['43', '38']",['11'],0.21,0.6,1.08
"['43', '11']",['38'],0.21,0.84,1.07
['28'],['43'],0.24,0.45,1.05
['43'],['28'],0.24,0.56,1.05
['38'],"['43', '28']",0.2,0.26,1.06
['28'],"['43', '38']",0.2,0.37,1.07
['43'],"['28', '38']",0.2,0.47,1.09
"['28', '38']",['43'],0.2,0.47,1.09
"['43', '38']",['28'],0.2,0.58,1.07
"['43', '28']",['38'],0.2,0.83,1.06
['3'],['43'],0.23,0.44,1.01
['43'],['3'],0.23,0.52,1.01
['40'],['43'],0.23,0.47,1.07
['43'],['40'],0.23,0.53,1.07
['39'],['43'],0.21,0.44,1.02
['43'],['39'],0.21,0.49,1.02
['48'],['43'],0.26,0.46,1.05
['43'],['48'],0.26,0.6,1.05
['38'],"['43', '48']",0.21,0.27,1.06
['48'],"['43', '38']",0.21,0.38,1.08
['43'],"['48', '38']",0.21,0.49,1.08
"['48', '38']",['43'],0.21,0.47,1.08
"['43', '38']",['48'],0.21,0.61,1.08
"['43', '48']",['38'],0.21,0.83,1.06
['8'],['43'],0.24,0.45,1.04
['43'],['8'],0.24,0.54,1.04
['47'],['43'],0.22,0.47,1.08
['43'],['47'],0.22,0.5,1.08
['9'],['43'],0.21,0.46,1.06
['43'],['9'],0.21,0.49,1.06
['17'],['43'],0.22,0.45,1.04
['43'],['17'],0.22,0.5,1.04
['38'],['29'],0.34,0.43,1.03
['29'],['38'],0.34,0.8,1.03
['36'],['29'],0.29,0.44,1.04
['29'],['36'],0.29,0.69,1.04
['38'],"['29', '36']",0.24,0.3,1.05
['36'],"['29', '38']",0.24,0.36,1.06
['29'],"['36', '38']",0.24,0.57,1.06
"['36', '38']",['29'],0.24,0.45,1.06
"['29', '38']",['36'],0.24,0.7,1.06
"['29', '36']",['38'],0.24,0.82,1.05
['11'],['29'],0.24,0.44,1.05
['29'],['11'],0.24,0.58,1.05
['38'],"['29', '11']",0.2,0.26,1.05
['11'],"['29', '38']",0.2,0.36,1.07
['29'],"['11', '38']",0.2,0.48,1.08
"['11', '38']",['29'],0.2,0.45,1.08
"['29', '38']",['11'],0.2,0.59,1.07
"['29', '11']",['38'],0.2,0.82,1.05
['28'],['29'],0.24,0.44,1.05
['29'],['28'],0.24,0.57,1.05
['3'],['29'],0.22,0.42,1.01
['29'],['3'],0.22,0.52,1.01
['40'],['29'],0.22,0.44,1.04
['29'],['40'],0.22,0.51,1.04
['39'],['29'],0.21,0.45,1.06
['29'],['39'],0.21,0.51,1.06
['48'],['29'],0.25,0.44,1.05
['29'],['48'],0.25,0.6,1.05
['38'],"['29', '48']",0.21,0.26,1.06
['48'],"['29', '38']",0.21,0.36,1.08
['29'],"['48', '38']",0.21,0.49,1.08
"['48', '38']",['29'],0.21,0.45,1.08
"['29', '38']",['48'],0.21,0.61,1.08
"['29', '48']",['38'],0.21,0.83,1.06
['8'],['29'],0.24,0.45,1.08
['29'],['8'],0.24,0.56,1.08
['17'],['29'],0.21,0.44,1.04
['29'],['17'],0.21,0.5,1.04
['9'],['29'],0.2,0.44,1.06
['29'],['9'],0.2,0.49,1.06
['47'],['29'],0.21,0.44,1.06
['29'],['47'],0.21,0.49,1.06
['38'],['21'],0.28,0.36,1.03
['21'],['38'],0.28,0.81,1.03
['36'],['21'],0.25,0.37,1.06
['21'],['36'],0.25,0.7,1.06
['38'],"['21', '36']",0.2,0.26,1.05
['36'],"['21', '38']",0.2,0.31,1.08
['21'],"['36', '38']",0.2,0.58,1.09
"['36', '38']",['21'],0.2,0.38,1.09
"['21', '38']",['36'],0.2,0.72,1.08
"['21', '36']",['38'],0.2,0.82,1.05
['11'],['21'],0.21,0.38,1.09
['21'],['11'],0.21,0.6,1.09
['48'],['21'],0.21,0.37,1.05
['21'],['48'],0.21,0.6,1.05
['38'],['49'],0.22,0.28,1.04
['49'],['38'],0.22,0.81,1.04
['38'],['5'],0.21,0.27,1.03
['5'],['38'],0.21,0.8,1.03
['38'],['0'],0.21,0.27,1.06
['0'],['38'],0.21,0.82,1.06
['38'],['25'],0.2,0.26,1.04
['25'],['38'],0.2,0.81,1.04
['38'],['48'],0.46,0.59,1.03
['48'],['38'],0.46,0.81,1.03
['36'],['48'],0.39,0.59,1.04
['48'],['36'],0.39,0.69,1.04
['38'],"['48', '36']",0.32,0.41,1.05
['36'],"['48', '38']",0.32,0.48,1.06
['48'],"['36', '38']",0.32,0.57,1.06
"['36', '38']",['48'],0.32,0.6,1.06
"['48', '38']",['36'],0.32,0.7,1.06
"['48', '36']",['38'],0.32,0.82,1.05
['38'],['8'],0.42,0.54,1.03
['8'],['38'],0.42,0.8,1.03
['48'],['8'],0.31,0.54,1.04
['8'],['48'],0.31,0.59,1.04
['38'],"['8', '48']",0.25,0.33,1.05
['48'],"['8', '38']",0.25,0.45,1.07
['8'],"['48', '38']",0.25,0.49,1.06
"['48', '38']",['8'],0.25,0.56,1.06
"['8', '38']",['48'],0.25,0.61,1.07
"['8', '48']",['38'],0.25,0.82,1.05
['36'],"['8', '48']",0.22,0.33,1.05
['48'],"['8', '36']",0.22,0.38,1.08
['8'],"['48', '36']",0.22,0.41,1.06
"['48', '36']",['8'],0.22,0.55,1.06
"['8', '36']",['48'],0.22,0.61,1.08
"['8', '48']",['36'],0.22,0.7,1.05
['11'],['8'],0.31,0.55,1.06
['8'],['11'],0.31,0.59,1.06
['38'],"['11', '8']",0.25,0.32,1.05
['11'],"['8', '38']",0.25,0.45,1.08
['8'],"['11', '38']",0.25,0.48,1.09
"['11', '38']",['8'],0.25,0.57,1.09
"['8', '38']",['11'],0.25,0.6,1.08
"['11', '8']",['38'],0.25,0.82,1.05
['36'],"['11', '8']",0.22,0.33,1.07
['11'],"['8', '36']",0.22,0.39,1.1
['8'],"['11', '36']",0.22,0.42,1.07
"['11', '36']",['8'],0.22,0.56,1.07
"['8', '36']",['11'],0.22,0.61,1.1
"['11', '8']",['36'],0.22,0.71,1.07
['28'],['8'],0.29,0.54,1.03
['8'],['28'],0.29,0.56,1.03
['38'],"['8', '28']",0.23,0.3,1.03
['28'],"['8', '38']",0.23,0.44,1.04
['8'],"['28', '38']",0.23,0.45,1.05
"['28', '38']",['8'],0.23,0.55,1.05
"['8', '38']",['28'],0.23,0.56,1.04
"['8', '28']",['38'],0.23,0.81,1.03
['36'],"['8', '28']",0.2,0.31,1.05
['28'],"['8', '36']",0.2,0.38,1.07
['8'],"['28', '36']",0.2,0.39,1.05
"['28', '36']",['8'],0.2,0.55,1.05
"['8', '36']",['28'],0.2,0.57,1.07
"['8', '28']",['36'],0.2,0.7,1.05
['36'],['8'],0.35,0.53,1.02
['8'],['36'],0.35,0.68,1.02
['38'],"['8', '36']",0.29,0.38,1.06
['36'],"['8', '38']",0.29,0.44,1.05
['8'],"['36', '38']",0.29,0.56,1.05
"['36', '38']",['8'],0.29,0.55,1.05
"['8', '38']",['36'],0.29,0.7,1.05
"['8', '36']",['38'],0.29,0.83,1.06
['38'],['9'],0.36,0.47,1.01
['9'],['38'],0.36,0.79,1.01
['48'],['9'],0.27,0.48,1.04
['9'],['48'],0.27,0.59,1.04
['38'],"['9', '48']",0.22,0.29,1.05
['48'],"['9', '38']",0.22,0.39,1.08
['9'],"['48', '38']",0.22,0.48,1.06
"['48', '38']",['9'],0.22,0.49,1.06
"['9', '38']",['48'],0.22,0.61,1.08
"['9', '48']",['38'],0.22,0.82,1.05
['11'],['9'],0.27,0.49,1.06
['9'],['11'],0.27,0.59,1.06
['38'],"['11', '9']",0.22,0.28,1.04
['11'],"['9', '38']",0.22,0.39,1.08
['9'],"['11', '38']",0.22,0.48,1.07
"['11', '38']",['9'],0.22,0.49,1.07
"['9', '38']",['11'],0.22,0.6,1.08
"['11', '9']",['38'],0.22,0.81,1.04
['28'],['9'],0.26,0.48,1.05
['9'],['28'],0.26,0.56,1.05
['38'],"['9', '28']",0.21,0.27,1.03
['28'],"['9', '38']",0.21,0.39,1.06
['9'],"['28', '38']",0.21,0.45,1.06
"['28', '38']",['9'],0.21,0.49,1.06
"['9', '38']",['28'],0.21,0.57,1.06
"['9', '28']",['38'],0.21,0.8,1.03
['8'],['9'],0.25,0.48,1.04
['9'],['8'],0.25,0.54,1.04
['38'],"['9', '8']",0.2,0.26,1.04
['8'],"['9', '38']",0.2,0.39,1.06
['9'],"['8', '38']",0.2,0.44,1.04
"['8', '38']",['9'],0.2,0.48,1.04
"['9', '38']",['8'],0.2,0.55,1.06
"['9', '8']",['38'],0.2,0.81,1.04
['3'],['9'],0.24,0.47,1.03
['9'],['3'],0.24,0.53,1.03
['36'],['9'],0.31,0.47,1.03
['9'],['36'],0.31,0.68,1.03
['38'],"['9', '36']",0.26,0.33,1.04
['36'],"['9', '38']",0.26,0.39,1.06
['9'],"['36', '38']",0.26,0.56,1.05
"['36', '38']",['9'],0.26,0.48,1.05
"['9', '38']",['36'],0.26,0.7,1.06
"['9', '36']",['38'],0.26,0.82,1.04
['40'],['9'],0.23,0.47,1.02
['9'],['40'],0.23,0.5,1.02
['17'],['9'],0.23,0.48,1.04
['9'],['17'],0.23,0.5,1.04
['39'],['9'],0.23,0.48,1.04
['9'],['39'],0.23,0.5,1.04
['47'],['9'],0.23,0.49,1.06
['9'],['47'],0.23,0.49,1.06
['38'],['33'],0.27,0.34,1.04
['33'],['38'],0.27,0.81,1.04
['36'],['33'],0.22,0.34,1.04
['33'],['36'],0.22,0.69,1.04
['38'],['23'],0.24,0.31,1.0
['23'],['38'],0.24,0.78,1.0
['36'],['23'],0.21,0.32,1.05
['23'],['36'],0.21,0.69,1.05
['38'],['42'],0.22,0.28,1.04
['42'],['38'],0.22,0.81,1.04
['38'],['26'],0.21,0.27,1.06
['26'],['38'],0.21,0.83,1.06
['38'],['17'],0.39,0.5,1.03
['17'],['38'],0.39,0.8,1.03
['36'],['17'],0.33,0.5,1.04
['17'],['36'],0.33,0.69,1.04
['38'],"['36', '17']",0.27,0.35,1.06
['36'],"['38', '17']",0.27,0.41,1.07
['17'],"['36', '38']",0.27,0.57,1.07
"['36', '38']",['17'],0.27,0.52,1.07
"['38', '17']",['36'],0.27,0.71,1.07
"['36', '17']",['38'],0.27,0.83,1.06
['48'],['17'],0.28,0.5,1.03
['17'],['48'],0.28,0.59,1.03
['38'],"['48', '17']",0.24,0.3,1.06
['48'],"['38', '17']",0.24,0.41,1.07
['17'],"['48', '38']",0.24,0.49,1.07
"['48', '38']",['17'],0.24,0.51,1.07
"['38', '17']",['48'],0.24,0.61,1.07
"['48', '17']",['38'],0.24,0.83,1.06
['28'],['17'],0.27,0.51,1.05
['17'],['28'],0.27,0.57,1.05
['38'],"['28', '17']",0.22,0.29,1.04
['28'],"['38', '17']",0.22,0.41,1.07
['17'],"['28', '38']",0.22,0.46,1.08
"['28', '38']",['17'],0.22,0.52,1.08
"['38', '17']",['28'],0.22,0.58,1.07
"['28', '17']",['38'],0.22,0.81,1.04
['8'],['17'],0.26,0.5,1.03
['17'],['8'],0.26,0.54,1.03
['38'],"['8', '17']",0.22,0.28,1.06
['8'],"['38', '17']",0.22,0.41,1.07
['17'],"['8', '38']",0.22,0.45,1.06
"['8', '38']",['17'],0.22,0.51,1.06
"['38', '17']",['8'],0.22,0.56,1.07
"['8', '17']",['38'],0.22,0.83,1.06
['40'],['17'],0.25,0.5,1.04
['17'],['40'],0.25,0.51,1.04
['38'],"['40', '17']",0.2,0.26,1.05
['40'],"['38', '17']",0.2,0.41,1.07
['17'],"['40', '38']",0.2,0.42,1.07
"['40', '38']",['17'],0.2,0.51,1.07
"['38', '17']",['40'],0.2,0.53,1.07
"['40', '17']",['38'],0.2,0.82,1.05
['3'],['17'],0.25,0.49,1.02
['17'],['3'],0.25,0.53,1.02
['38'],"['3', '17']",0.21,0.27,1.04
['3'],"['38', '17']",0.21,0.4,1.04
['17'],"['3', '38']",0.21,0.43,1.05
"['3', '38']",['17'],0.21,0.5,1.05
"['38', '17']",['3'],0.21,0.53,1.04
"['3', '17']",['38'],0.21,0.81,1.04
['11'],['17'],0.28,0.5,1.03
['17'],['11'],0.28,0.57,1.03
['38'],"['11', '17']",0.23,0.29,1.06
['11'],"['38', '17']",0.23,0.41,1.07
['17'],"['11', '38']",0.23,0.48,1.07
"['11', '38']",['17'],0.23,0.52,1.07
"['38', '17']",['11'],0.23,0.59,1.07
"['11', '17']",['38'],0.23,0.83,1.06
['38'],['14'],0.33,0.43,1.04
['14'],['38'],0.33,0.81,1.04
['36'],['14'],0.28,0.42,1.01
['14'],['36'],0.28,0.67,1.01
['38'],"['14', '36']",0.23,0.29,1.06
['36'],"['14', '38']",0.23,0.34,1.03
['14'],"['36', '38']",0.23,0.55,1.04
"['36', '38']",['14'],0.23,0.43,1.04
"['14', '38']",['36'],0.23,0.68,1.03
"['14', '36']",['38'],0.23,0.83,1.06
['48'],['14'],0.24,0.42,1.03
['14'],['48'],0.24,0.58,1.03
['28'],['14'],0.23,0.43,1.05
['14'],['28'],0.23,0.56,1.05
['8'],['14'],0.23,0.43,1.05
['14'],['8'],0.23,0.55,1.05
['40'],['14'],0.21,0.43,1.04
['14'],['40'],0.21,0.51,1.04
['17'],['14'],0.21,0.43,1.04
['14'],['17'],0.21,0.5,1.04
['39'],['14'],0.21,0.44,1.06
['14'],['39'],0.21,0.51,1.06
['3'],['14'],0.22,0.42,1.03
['14'],['3'],0.22,0.53,1.03
['11'],['14'],0.24,0.42,1.03
['14'],['11'],0.24,0.57,1.03
['47'],['14'],0.2,0.44,1.07
['14'],['47'],0.2,0.5,1.07
['38'],['35'],0.33,0.42,1.04
['35'],['38'],0.33,0.81,1.04
['36'],['35'],0.28,0.42,1.04
['35'],['36'],0.28,0.69,1.04
['38'],"['35', '36']",0.23,0.29,1.06
['36'],"['35', '38']",0.23,0.34,1.06
['35'],"['36', '38']",0.23,0.57,1.06
"['36', '38']",['35'],0.23,0.43,1.06
"['35', '38']",['36'],0.23,0.7,1.06
"['35', '36']",['38'],0.23,0.83,1.06
['48'],['35'],0.24,0.42,1.04
['35'],['48'],0.24,0.59,1.04
['28'],['35'],0.22,0.42,1.04
['35'],['28'],0.22,0.56,1.04
['8'],['35'],0.22,0.41,1.03
['35'],['8'],0.22,0.54,1.03
['40'],['35'],0.2,0.41,1.02
['35'],['40'],0.2,0.5,1.02
['17'],['35'],0.2,0.42,1.05
['35'],['17'],0.2,0.51,1.05
['3'],['35'],0.21,0.41,1.02
['35'],['3'],0.21,0.52,1.02
['11'],['35'],0.23,0.41,1.01
['35'],['11'],0.23,0.56,1.01
['38'],['7'],0.23,0.29,1.05
['7'],['38'],0.23,0.82,1.05
['38'],['47'],0.37,0.48,1.03
['47'],['38'],0.37,0.81,1.03
['36'],['47'],0.32,0.48,1.03
['47'],['36'],0.32,0.68,1.03
['38'],"['47', '36']",0.26,0.33,1.06
['36'],"['47', '38']",0.26,0.39,1.05
['47'],"['36', '38']",0.26,0.56,1.05
"['36', '38']",['47'],0.26,0.49,1.05
"['47', '38']",['36'],0.26,0.7,1.05
